#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-02-05T03:26:42 [V7.32.7]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2024-02-05T03:26:42	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146/iso&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/537/A146/iso
#-order=I
#-out=logAge
#logAge=6.5
#-out=iso
#iso=iso
#-out=Rot
#Rot=r
#Zini=0.014
#-out=Mass
#-out=logL
#-out=logTe
#-out=Vmag
#-out=B-V
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.7	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Mass	(F7.3)	Actual mass at the age of the isochrone	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	Vmag	(F7.3)	V-band absolute magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
logAge	iso	Rot	Mass	logL	logTe	Vmag	B-V
[yr]	 	 	Msun	[Lsun]	[K]	mag	mag
----	---	-	-------	-------	-----	-------	------
 6.5	iso	r	  0.800	 -0.591	3.688	  6.615	 0.954
 6.5	iso	r	  0.804	 -0.582	3.690	  6.587	 0.946
 6.5	iso	r	  0.807	 -0.573	3.691	  6.559	 0.939
 6.5	iso	r	  0.811	 -0.563	3.693	  6.530	 0.932
 6.5	iso	r	  0.815	 -0.554	3.694	  6.502	 0.925
 6.5	iso	r	  0.819	 -0.545	3.695	  6.474	 0.918
 6.5	iso	r	  0.822	 -0.536	3.697	  6.447	 0.911
 6.5	iso	r	  0.826	 -0.526	3.698	  6.419	 0.904
 6.5	iso	r	  0.830	 -0.517	3.700	  6.391	 0.897
 6.5	iso	r	  0.834	 -0.508	3.701	  6.364	 0.890
 6.5	iso	r	  0.837	 -0.499	3.702	  6.337	 0.884
 6.5	iso	r	  0.841	 -0.490	3.704	  6.309	 0.877
 6.5	iso	r	  0.845	 -0.481	3.705	  6.282	 0.871
 6.5	iso	r	  0.848	 -0.472	3.706	  6.255	 0.864
 6.5	iso	r	  0.852	 -0.463	3.708	  6.228	 0.858
 6.5	iso	r	  0.856	 -0.455	3.709	  6.202	 0.851
 6.5	iso	r	  0.860	 -0.446	3.711	  6.175	 0.845
 6.5	iso	r	  0.863	 -0.437	3.712	  6.149	 0.838
 6.5	iso	r	  0.867	 -0.428	3.713	  6.122	 0.832
 6.5	iso	r	  0.871	 -0.420	3.715	  6.096	 0.826
 6.5	iso	r	  0.874	 -0.411	3.716	  6.070	 0.820
 6.5	iso	r	  0.878	 -0.402	3.717	  6.044	 0.813
 6.5	iso	r	  0.882	 -0.394	3.718	  6.018	 0.807
 6.5	iso	r	  0.886	 -0.385	3.720	  5.992	 0.801
 6.5	iso	r	  0.889	 -0.377	3.721	  5.966	 0.794
 6.5	iso	r	  0.893	 -0.368	3.722	  5.941	 0.788
 6.5	iso	r	  0.897	 -0.360	3.724	  5.915	 0.781
 6.5	iso	r	  0.901	 -0.352	3.725	  5.890	 0.775
 6.5	iso	r	  0.904	 -0.343	3.726	  5.865	 0.769
 6.5	iso	r	  0.908	 -0.335	3.727	  5.840	 0.764
 6.5	iso	r	  0.912	 -0.326	3.728	  5.815	 0.758
 6.5	iso	r	  0.915	 -0.318	3.730	  5.791	 0.752
 6.5	iso	r	  0.919	 -0.310	3.731	  5.766	 0.746
 6.5	iso	r	  0.923	 -0.302	3.732	  5.742	 0.741
